"Season","Age","Tm","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","lName","fName"
"2015-16",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silas","Xavier"
"2016-17",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silas","Xavier"
"2017-18",30,"BOS","SG",2,0,3.5,0,1.5,0,0,1,0,0,0.5,0,0,0,0,NA,0.5,0.5,1,0,0.5,0,0,0.5,0,"Silas","Xavier"
"2014-15",20,"BOS","PG",67,38,27,2.6,7.1,0.367,1.4,4.1,0.335,1.3,3.1,0.41,0.462,1.2,1.9,0.646,0.9,2.4,3.3,3.1,1.5,0.3,1.3,2.6,7.8,"Smart","Marcus"
"2015-16",21,"BOS","PG",61,10,27.3,3,8.7,0.348,1,4,0.253,2,4.7,0.427,0.405,2.1,2.7,0.777,1.2,2.9,4.2,3,1.5,0.3,1.3,3,9.1,"Smart","Marcus"
"2016-17",22,"BOS","SG",79,24,30.4,3.4,9.5,0.359,1.2,4.2,0.283,2.2,5.3,0.42,0.422,2.6,3.2,0.812,1,2.9,3.9,4.6,1.6,0.4,2,2.4,10.6,"Smart","Marcus"
"2017-18",23,"BOS","SG",54,11,29.9,3.5,9.5,0.367,1.4,4.6,0.301,2.1,4.9,0.429,0.44,1.8,2.5,0.729,0.8,2.7,3.5,4.8,1.3,0.4,2.4,2.5,10.2,"Smart","Marcus"
"2017-18",19,"BOS","SF",78,78,30.6,4.9,10.4,0.475,1.3,3.1,0.429,3.6,7.4,0.495,0.538,2.7,3.2,0.828,0.6,4.4,5.1,1.6,1,0.7,1.4,2.1,13.9,"Tatum","Jayson"
"2017-18",25,"BOS","C",63,3,14.9,2,3.7,0.541,0.3,0.9,0.31,1.7,2.8,0.617,0.579,1,1.3,0.753,1.4,2.9,4.3,0.9,0.5,0.8,0.9,2.5,5.3,"Theis","Daniel"
"2017-18",22,"BOS","PF",32,3,6.5,0.6,1.6,0.392,0.3,1.1,0.314,0.3,0.5,0.563,0.5,0.4,0.6,0.632,0.5,1,1.5,0.5,0.1,0.1,0.4,0.7,2,"Yabusele","Guerschon"
