Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,20,BOS,NBA,SF,78,20,17.2,2.5,5.4,.454,0.6,1.7,.341,1.9,3.7,.507,.508,1.1,1.6,.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6
2017-18,21,BOS,NBA,SG,68,68,30.8,5.3,11.4,.465,1.7,4.3,.391,3.6,7.1,.509,.539,2.1,3.3,.644,1.0,4.1,5.0,1.6,1.0,0.4,1.8,2.6,14.4
