Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,21,BOS,NBA,PG,39,0,8.0,0.7,2.7,.274,0.2,0.7,.222,0.6,2.0,.291,.302,0.2,0.3,.800,0.6,1.0,1.6,0.9,0.2,0.0,0.5,0.6,1.8
2016-17,22,BOS,NBA,PG,74,0,17.1,2.0,5.6,.367,0.8,2.4,.318,1.3,3.1,.405,.437,0.7,0.9,.773,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,5.5
2017-18,23,BOS,NBA,PG,78,14,25.8,4.0,10.0,.398,1.9,5.0,.385,2.1,5.0,.411,.494,1.4,1.9,.772,0.8,3.9,4.7,2.8,1.0,0.2,1.0,1.5,11.3
